gene,pathway
C01B4.6,path:cel00010
C04C3.3,path:cel00010
C30H6.7,path:cel00010
C36A4.9,path:cel00010
C50D2.7,path:cel00010
C50F4.2,path:cel00010
D2063.1,path:cel00010
F01F1.12,path:cel00010
F01F1.6,path:cel00010
F13D12.2,path:cel00010
F14B4.2,path:cel00010
F23B12.5,path:cel00010
F25H5.3,path:cel00010
F33H1.2,path:cel00010
F54D8.3,path:cel00010
F57B10.3,path:cel00010
H24K24.3,path:cel00010
K07A3.1,path:cel00010
K10B3.7,path:cel00010
K10B3.8,path:cel00010
K12G11.3,path:cel00010
K12G11.4,path:cel00010
LLC1.3,path:cel00010
R05F9.6,path:cel00010
R11A5.4,path:cel00010
T03F1.3,path:cel00010
T05D4.1,path:cel00010
T05H10.6,path:cel00010
T05H4.13,path:cel00010
T08B1.3,path:cel00010
T09F3.3,path:cel00010
T21B10.2,path:cel00010
W05G11.6,path:cel00010
Y17G7B.7,path:cel00010
Y19D10A.16,path:cel00010
Y43F4B.5,path:cel00010
Y69F12A.2,path:cel00010
Y71H10A.1,path:cel00010
Y87G2A.8,path:cel00010
B0365.1,path:cel00020
C03G5.1,path:cel00020
C04C3.3,path:cel00020
C05G5.4,path:cel00020
C30F12.7,path:cel00020
C30H6.7,path:cel00020
C34B2.7,path:cel00020
C34F6.8,path:cel00020
C37E2.1,path:cel00020
C50F7.4,path:cel00020
D1005.1,path:cel00020
D2023.2,path:cel00020
F20H11.3,path:cel00020
F23B12.5,path:cel00020
F23H11.3,path:cel00020
F33A8.5,path:cel00020
F35G12.2,path:cel00020
F42A8.2,path:cel00020
F43G9.1,path:cel00020
F46E10.10,path:cel00020
F47B10.1,path:cel00020
F54H12.1,path:cel00020
F59B8.2,path:cel00020
H14A12.2,path:cel00020
LLC1.3,path:cel00020
R11A5.4,path:cel00020
T05H10.6,path:cel00020
T07C4.7,path:cel00020
T20G5.2,path:cel00020
T22B11.5,path:cel00020
W02F12.5,path:cel00020
W05G11.6,path:cel00020
ZK455.1,path:cel00020
B0035.5,path:cel00030
B0280.3,path:cel00030
C50F4.2,path:cel00030
F01F1.12,path:cel00030
F01G10.1,path:cel00030
F08F8.7,path:cel00030
F09E5.3,path:cel00030
F26D11.1,path:cel00030
K07A3.1,path:cel00030
R05F9.6,path:cel00030
R151.2,path:cel00030
T05D4.1,path:cel00030
T25B9.9,path:cel00030
Y24D9A.8,path:cel00030
