gene,pathway
ENSG00000156006,path:hsa00232
ENSG00000140505,path:hsa00232
ENSG00000255974,path:hsa00232
ENSG00000158125,path:hsa00232
ENSG00000171428,path:hsa00232
ENSG00000156006,path:hsa00983
ENSG00000198848,path:hsa00983
ENSG00000213759,path:hsa00983
ENSG00000173610,path:hsa00983
ENSG00000007001,path:hsa00983
ENSG00000255974,path:hsa00983
ENSG00000188641,path:hsa00983
ENSG00000147647,path:hsa00983
ENSG00000025708,path:hsa00983
ENSG00000169919,path:hsa00983
ENSG00000165704,path:hsa00983
ENSG00000106348,path:hsa00983
ENSG00000178035,path:hsa00983
ENSG00000125877,path:hsa00983
ENSG00000100024,path:hsa00983
ENSG00000135226,path:hsa00983
ENSG00000242515,path:hsa00983
ENSG00000242366,path:hsa00983
ENSG00000244122,path:hsa00983
ENSG00000167165,path:hsa00983
ENSG00000240224,path:hsa00983
ENSG00000241119,path:hsa00983
ENSG00000244474,path:hsa00983
ENSG00000241635,path:hsa00983
ENSG00000243135,path:hsa00983
ENSG00000198276,path:hsa00983
ENSG00000167900,path:hsa00983
ENSG00000166548,path:hsa00983
ENSG00000137364,path:hsa00983
ENSG00000156096,path:hsa00983
ENSG00000171234,path:hsa00983
ENSG00000196620,path:hsa00983
ENSG00000197888,path:hsa00983
ENSG00000183696,path:hsa00983
ENSG00000158125,path:hsa00983
ENSG00000135220,path:hsa00983
ENSG00000130717,path:hsa00983
ENSG00000172831,path:hsa00983
ENSG00000163655,path:hsa00983
ENSG00000171428,path:hsa00983
ENSG00000158825,path:hsa00983
ENSG00000156006,path:hsa01100
ENSG00000196839,path:hsa01100
ENSG00000101473,path:hsa01100
ENSG00000113552,path:hsa01100
ENSG00000243708,path:hsa01100
ENSG00000159921,path:hsa01100
ENSG00000142892,path:hsa01100
ENSG00000259075,path:hsa01100
ENSG00000151364,path:hsa01100
ENSG00000105835,path:hsa01100
ENSG00000073737,path:hsa01100
ENSG00000214160,path:hsa01100
ENSG00000172113,path:hsa01100
ENSG00000085231,path:hsa01100
ENSG00000167186,path:hsa01100
ENSG00000274276,path:hsa01100
ENSG00000277196,path:hsa01100
ENSG00000110719,path:hsa01100
ENSG00000183778,path:hsa01100
ENSG00000117448,path:hsa01100
ENSG00000179913,path:hsa01100
ENSG00000129596,path:hsa01100
ENSG00000162813,path:hsa01100
ENSG00000134255,path:hsa01100
ENSG00000163624,path:hsa01100
ENSG00000133027,path:hsa01100
