gene,pathway
ENSMUSG00000040265,path:mmu04144
ENSMUSG00000034190,path:mmu04144
ENSMUSG00000056515,path:mmu04144
ENSMUSG00000024451,path:mmu04144
ENSMUSG00000048832,path:mmu04144
ENSMUSG00000025224,path:mmu04144
ENSMUSG00000041058,path:mmu04144
ENSMUSG00000018909,path:mmu04144
ENSMUSG00000024858,path:mmu04144
ENSMUSG00000073409,path:mmu04144
ENSMUSG00000058124,path:mmu04144
ENSMUSG00000035283,path:mmu04144
ENSMUSG00000045730,path:mmu04144
ENSMUSG00000031489,path:mmu04144
ENSMUSG00000031913,path:mmu04144
ENSMUSG00000060279,path:mmu04144
ENSMUSG00000002957,path:mmu04144
ENSMUSG00000022841,path:mmu04144
ENSMUSG00000048076,path:mmu04144
ENSMUSG00000051853,path:mmu04144
ENSMUSG00000020440,path:mmu04144
ENSMUSG00000044147,path:mmu04144
ENSMUSG00000007815,path:mmu04144
ENSMUSG00000007655,path:mmu04144
ENSMUSG00000000058,path:mmu04144
ENSMUSG00000062694,path:mmu04144
ENSMUSG00000034342,path:mmu04144
ENSMUSG00000006699,path:mmu04144
ENSMUSG00000028478,path:mmu04144
ENSMUSG00000026180,path:mmu04144
ENSMUSG00000045382,path:mmu04144
ENSMUSG00000079227,path:mmu04144
ENSMUSG00000024621,path:mmu04144
ENSMUSG00000022150,path:mmu04144
ENSMUSG00000022377,path:mmu04144
ENSMUSG00000026825,path:mmu04144
ENSMUSG00000033335,path:mmu04144
ENSMUSG00000028017,path:mmu04144
ENSMUSG00000020122,path:mmu04144
ENSMUSG00000024772,path:mmu04144
ENSMUSG00000035203,path:mmu04144
ENSMUSG00000001036,path:mmu04144
ENSMUSG00000028552,path:mmu04144
ENSMUSG00000062209,path:mmu04144
ENSMUSG00000029033,path:mmu04144
ENSMUSG00000048376,path:mmu04144
ENSMUSG00000030849,path:mmu04144
ENSMUSG00000054252,path:mmu04144
ENSMUSG00000005320,path:mmu04144
ENSMUSG00000029648,path:mmu04144
ENSMUSG00000001827,path:mmu04144
ENSMUSG00000032725,path:mmu04144
ENSMUSG00000052783,path:mmu04144
ENSMUSG00000003228,path:mmu04144
ENSMUSG00000073406,path:mmu04144
ENSMUSG00000073411,path:mmu04144
ENSMUSG00000061232,path:mmu04144
ENSMUSG00000024448,path:mmu04144
ENSMUSG00000016283,path:mmu04144
ENSMUSG00000016206,path:mmu04144
ENSMUSG00000067201,path:mmu04144
ENSMUSG00000079507,path:mmu04144
ENSMUSG00000067235,path:mmu04144
ENSMUSG00000091705,path:mmu04144
ENSMUSG00000060550,path:mmu04144
ENSMUSG00000079491,path:mmu04144
ENSMUSG00000056116,path:mmu04144
ENSMUSG00000067212,path:mmu04144
ENSMUSG00000053835,path:mmu04144
ENSMUSG00000054128,path:mmu04144
ENSMUSG00000025793,path:mmu04144
ENSMUSG00000025499,path:mmu04144
ENSMUSG00000015656,path:mmu04144
ENSMUSG00000007033,path:mmu04144
ENSMUSG00000090877,path:mmu04144
ENSMUSG00000059970,path:mmu04144
ENSMUSG00000026770,path:mmu04144
ENSMUSG00000068227,path:mmu04144
ENSMUSG00000031304,path:mmu04144
ENSMUSG00000027598,path:mmu04144
ENSMUSG00000062960,path:mmu04144
ENSMUSG00000005672,path:mmu04144
ENSMUSG00000032193,path:mmu04144
ENSMUSG00000032402,path:mmu04144
ENSMUSG00000036867,path:mmu04144
ENSMUSG00000025880,path:mmu04144
ENSMUSG00000020184,path:mmu04144
ENSMUSG00000009376,path:mmu04144
ENSMUSG00000032216,path:mmu04144
ENSMUSG00000028072,path:mmu04144
ENSMUSG00000032504,path:mmu04144
ENSMUSG00000029231,path:mmu04144
ENSMUSG00000034902,path:mmu04144
ENSMUSG00000024867,path:mmu04144
ENSMUSG00000028126,path:mmu04144
ENSMUSG00000037643,path:mmu04144
ENSMUSG00000029053,path:mmu04144
ENSMUSG00000027695,path:mmu04144
ENSMUSG00000020828,path:mmu04144
ENSMUSG00000036986,path:mmu04144
ENSMUSG00000017132,path:mmu04144
ENSMUSG00000003269,path:mmu04144
ENSMUSG00000018001,path:mmu04144
ENSMUSG00000077450,path:mmu04144
ENSMUSG00000019478,path:mmu04144
ENSMUSG00000000711,path:mmu04144
