gene_id	gene_name	enc	cai
Tb05.5K5.110	major vault protein, putative,BAC from homologous region on chr5	55.776	0.675
Tb05.5K5.120	hypothetical protein, conserved,BAC from homologous region on chr5	56.789	0.669
Tb05.5K5.130	paraflagellar rod component par4, putative,BAC from homologous region on chr5	59.659	0.658
Tb05.5K5.160	hypothetical protein, conserved,BAC from homologous region on chr5	59.071	0.621
Tb05.5K5.170	elongation of very long chain fatty acids protein, putative,ATP pyrophosphate-lyase, putative,BAC from homologous region on chr5	60.564	0.611
Tb05.5K5.180	receptor-type adenylate cyclase GRESAG 4, putative,adenylyl cyclase, putative,ATP pyrophosphate-lyase, putative,BAC from homologous region on chr5	57.875	0.684
Tb05.5K5.190	receptor-type adenylate cyclase GRESAG 4, putative,adenylyl cyclase, putative,ATP pyrophosphate-lyase, putative,BAC from homologous region on chr5	57.921	0.683
Tb05.5K5.20	hypothetical protein, conserved,BAC from homologous region on chr5	54.548	0.63
Tb05.5K5.200	guanine deaminase, putative,guanase, putative,guanine aminase, putative,guanine aminohydrolase, putative,BAC from homologous region on chr5	55.366	0.721
Tb05.5K5.210	hypothetical protein,BAC from homologous region on chr5	57.105	0.663
Tb05.5K5.220	hypothetical protein,BAC from homologous region on chr5	57.296	0.669
Tb05.5K5.240	expression site-associated gene (ESAG) protein, putative,expression site-associated gene 3 (ESAG3) protein, putative,BAC from homologous region on chr5	57.774	0.613
Tb05.5K5.260	variant surface glycoprotein (VSG), putative,BAC from homologous region on chr5	51.4	0.581
Tb05.5K5.280	expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 1 (ESAG1), point mutation,BAC from homologous region on chr5	57.188	0.603
Tb05.5K5.290	hypothetical protein,BAC from homologous region on chr5	50.608	0.545
Tb05.5K5.30	serine/threonine protein phosphatase, putative,BAC from homologous region on chr5	57.456	0.682
Tb05.5K5.300	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate,BAC from homologous region on chr5	56.709	0.589
Tb05.5K5.320	variant surface glycoprotein (VSG), putative,BAC from homologous region on chr5	49.068	0.602
Tb05.5K5.330	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, point mutation,BAC from homologous region on chr5	51.628	0.628
Tb05.5K5.360	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, point mutation,BAC from homologous region on chr5	53.782	0.638
Tb05.5K5.430	variant surface glycoprotein (VSG), putative,BAC from homologous region on chr5	54.518	0.595
Tb05.5K5.440	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, point mutation,BAC from homologous region on chr5	52.381	0.63
Tb05.5K5.460	variant surface glycoprotein (VSG), pseudogene	52.381	0.63
Tb05.5K5.50	hypothetical protein, conserved,BAC from homologous region on chr5	61.0	0.652
Tb05.5K5.500	expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate,BAC from homologous region on chr5	45.631	0.543
Tb05.5K5.530	variant surface glycoprotein (VSG), putative,BAC from homologous region on chr5	50.258	0.595
Tb05.5K5.60	hypothetical protein, conserved,BAC from homologous region on chr5	50.383	0.681
Tb05.5K5.70	nucleolar RNA helicase II, putative,nucleolar RNA helicase Gu, putative,BAC from homologous region on chr5	55.126	0.723
Tb05.5K5.80	protein kinase, putative,BAC from homologous region on chr5	57.846	0.679
Tb06.3A7.270	hypothetical protein, conserved	59.272	0.642
Tb06.3A7.960	hypothetical protein	59.16	0.655
Tb07.11L3.100	hypothetical protein, conserved	59.347	0.652
Tb07.11L3.90	zinc finger protein family member, putative (ZC3H18)	56.02	0.645
Tb07.30D13.110	hypothetical protein, conserved (pseudogene)	59.172	0.633
Tb07.30D13.160	hypothetical protein, conserved (pseudogene)	59.731	0.636
Tb07.30D13.180	hypothetical protein, conserved (pseudogene)	59.631	0.6
Tb07.30D13.60	hypothetical protein, conserved (pseudogene)	59.391	0.635
Tb07.30D13.80	hypothetical protein, conserved (pseudogene)	57.521	0.603
Tb08.27P2.110	hypothetical protein, conserved,BAC from homologous region on chr8	59.984	0.654
Tb08.27P2.120	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate,BAC from homologous region on chr8	56.126	0.639
Tb08.27P2.140	variant surface glycoprotein (VSG, atypical), putative,BAC from homologous region on chr8	57.153	0.627
Tb08.27P2.220	variant surface glycoprotein (VSG, atypical), putative,BAC from homologous region on chr8	49.099	0.615
Tb08.27P2.230	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate,BAC from homologous region on chr8	49.007	0.607
Tb08.27P2.240	variant surface glycoprotein (VSG), putative,BAC from homologous region on chr8	54.451	0.619
