name,length,num_reads,num_reads_primary,gc,ct
TcCLB.397937.10,526,12,7,0.359,0.568
TcCLB.397937.5,NA,0,NA,0.494,0.506
TcCLB.398343.9,NA,0,NA,0.612,0.5
TcCLB.398345.10,545,23,19,0.4,0.51
TcCLB.398751.10,NA,0,NA,0.348,0.67
TcCLB.399033.10,13,95,30,0.308,0
TcCLB.399033.19,NA,0,NA,NA,NA
TcCLB.400945.10,254,8,8,0.506,0.49
TcCLB.401041.10,NA,0,NA,NA,NA
TcCLB.401473.9,NA,0,NA,0.547,0.541
TcCLB.401569.10,128,7,2,0.359,0.508
TcCLB.401661.10,62,33,24,0.532,0.532
TcCLB.403153.10,NA,0,NA,NA,NA
TcCLB.403153.20,55,1,1,0.582,0.4
TcCLB.403789.9,NA,0,NA,0.541,0.459
TcCLB.404001.10,230,17,8,0.535,0.457
TcCLB.404001.20,181,8,2,0.343,0.414
TcCLB.404001.4,NA,0,NA,NA,NA
TcCLB.404711.10,1506,677,354,0.489,0.538
TcCLB.404843.10,347,18,6,0.291,0.565
TcCLB.404843.20,401,620,302,0.416,0.576
TcCLB.404975.30,757,436,411,0.42,0.559
TcCLB.405165.10,297,16,6,0.438,0.418
TcCLB.405165.19,NA,0,NA,0.482,0.476
TcCLB.405179.10,NA,0,NA,0.476,0.559
TcCLB.405453.9,NA,0,NA,0.541,0.435
TcCLB.406999.10,NA,0,NA,0.624,0.529
TcCLB.407477.10,247,31,17,0.32,0.595
TcCLB.407477.20,95,146,86,0.295,0.547
TcCLB.407477.30,22,3,1,0.227,0.182
TcCLB.407477.40,11,31,16,0.455,0.273
TcCLB.407477.44,46,5,3,0.457,0.435
TcCLB.407477.50,303,1913,559,0.347,0.386
TcCLB.407477.60,40,11,6,0.5,0.525
TcCLB.407477.69,NA,0,NA,NA,NA
TcCLB.408345.10,347,117,57,0.357,0.602
TcCLB.408345.20,NA,0,NA,NA,NA
TcCLB.408437.10,1022,87,43,0.382,0.455
TcCLB.408437.20,325,75,12,0.403,0.431
TcCLB.408437.29,NA,0,NA,0.641,0.5
TcCLB.408547.10,NA,0,NA,0.586,0.444
TcCLB.408547.5,NA,0,NA,0.537,0.507
TcCLB.408573.5,48,12,4,0.542,0.5
TcCLB.408573.9,NA,0,NA,0.506,0.382
TcCLB.408799.10,105,5,2,0.314,0.552
TcCLB.408799.19,NA,0,NA,0.447,0.447
TcCLB.409101.9,NA,0,NA,NA,NA
TcCLB.409117.10,279,7,3,0.391,0.462
TcCLB.409117.20,NA,0,NA,NA,NA
TcCLB.409139.9,606,4,2,0.391,0.503
TcCLB.410243.10,NA,0,NA,0.476,0.537
TcCLB.410589.10,301,2,1,0.379,0.468
TcCLB.410589.19,2070,10,3,NA,NA
TcCLB.410943.10,840,4,2,0.369,0.599
TcCLB.410961.10,1774,70,48,0.41,0.493
TcCLB.411337.10,NA,0,NA,0.482,0.412
TcCLB.411427.10,64,151,38,0.359,0.406
TcCLB.411427.30,99,23,14,0.323,0.768
TcCLB.411427.40,23,21,6,0.522,0.652
TcCLB.411427.49,NA,0,NA,0.447,0.388
TcCLB.412093.10,NA,0,NA,0.635,0.412
TcCLB.412943.9,NA,0,NA,NA,NA
TcCLB.413605.10,910,45,38,0.359,0.497
TcCLB.413977.10,252,61,9,0.437,0.325
TcCLB.414145.9,NA,0,NA,NA,NA
TcCLB.414517.9,NA,0,NA,NA,NA
TcCLB.415331.10,2189,8,3,0.513,0.534
TcCLB.416503.10,NA,0,NA,0.468,0.556
TcCLB.416761.10,4016,450,226,0.537,0.483
TcCLB.416883.18,136,46,36,0.404,0.493
TcCLB.416883.9,NA,0,NA,NA,NA
TcCLB.417091.10,430,6,1,0.335,0.521
TcCLB.417203.9,816,65,54,0.441,0.554
TcCLB.417797.9,157,1,1,0.299,0.478
TcCLB.417939.9,NA,0,NA,0.547,0.418
TcCLB.417993.10,NA,0,NA,0.553,0.512
TcCLB.418069.10,407,222,115,0.502,0.446
TcCLB.418405.10,201,1,1,0.594,0.426
TcCLB.418405.20,259,13,12,0.494,0.556
TcCLB.418405.30,22,1122,1063,0.727,0.455
TcCLB.418613.20,NA,0,NA,0.594,0.435
TcCLB.419043.10,24,16,10,0.417,0.458
TcCLB.419417.10,108,10,2,0.37,0.565
TcCLB.419417.19,220,9,7,0.273,0.6
TcCLB.419417.4,402,15,9,0.45,0.51
TcCLB.419469.14,NA,0,NA,0.494,0.541
TcCLB.419469.30,56,85,20,0.125,0.161
TcCLB.419637.9,NA,0,NA,0.512,0.476
TcCLB.419703.10,NA,0,NA,NA,NA
TcCLB.419703.20,63,21,20,0.365,0.254
TcCLB.420091.10,NA,0,NA,0.47,0.522
TcCLB.420293.20,485,2,1,0.421,0.526
TcCLB.420293.31,326,1,1,0.469,0.61
