gene_id	gene_name	enc	cai
TcCLB.397937.10	pumilio/PUF RNA binding protein 1, putative (PUF1)	52.309	0.475
TcCLB.398345.10	hypothetical protein, conserved	58.488	0.535
TcCLB.401569.10	trans-sialidase, putative	36.245	0.702
TcCLB.404001.10	hypothetical protein, conserved	58.266	0.573
TcCLB.404001.20	hypothetical protein, conserved	53.15	0.592
TcCLB.404843.10	hypothetical protein, conserved	51.63	0.553
TcCLB.404843.20	hypothetical protein, conserved	54.309	0.561
TcCLB.405165.10	hypothetical protein, conserved	48.16	0.576
TcCLB.407477.10	thiolase protein-like protein, putative	58.883	0.519
TcCLB.407477.30	diphthine synthase, putative	56.47	0.54
TcCLB.407477.40	hypothetical protein, conserved	60.911	0.553
TcCLB.407477.60	hypothetical protein, conserved	53.415	0.593
TcCLB.408437.10	hypothetical protein, conserved	54.263	0.612
TcCLB.408547.10	mucin-associated surface protein (MASP), putative	55.134	0.528
TcCLB.408799.10	hypothetical protein, conserved	61.0	0.526
TcCLB.409139.9	trans-sialidase, putative	56.132	0.553
TcCLB.410589.10	AMP deaminase, putative	56.404	0.589
TcCLB.411427.10	hypothetical protein, conserved	56.34	0.508
TcCLB.411427.30	hypothetical protein, conserved	49.685	0.583
TcCLB.411427.40	hypothetical protein, conserved	56.291	0.565
TcCLB.413605.10	kinesin, putative	53.394	0.575
TcCLB.413977.10	guide RNA associated protein, GAP1, putative	55.51	0.653
TcCLB.417091.10	RNA pseudouridylate synthase, putative	60.919	0.544
TcCLB.417797.9	hypothetical protein, conserved	58.1	0.488
TcCLB.418405.30	trans-sialidase, putative	50.339	0.576
TcCLB.419043.10	hypothetical protein, conserved	48.46	0.524
TcCLB.419417.19	hypothetical protein, conserved	54.149	0.45
TcCLB.419469.30	hypothetical protein, conserved	52.016	0.643
TcCLB.419703.10	hypothetical protein	52.812	0.584
TcCLB.419703.20	ubiquitin carboxyl-terminal hydrolase, putative,cysteine peptidase, Clan CA, family C12, putative	52.985	0.599
TcCLB.420091.10	dispersed gene family protein 1 (DGF-1), putative	36.893	0.778
TcCLB.420293.20	trans-sialidase, Group II, putative	52.966	0.615
TcCLB.420293.31	hypothetical protein	51.346	0.63
TcCLB.420293.40	beta galactofuranosyl glycosyltransferase (pseudogene), putative	53.814	0.605
TcCLB.420369.40	hypothetical protein, conserved	51.91	0.402
TcCLB.420989.10	protein phosphatase 2C, putative	59.114	0.563
TcCLB.421173.14	trans-sialidase, putative	50.025	0.609
TcCLB.421619.10	hypothetical protein	54.926	0.534
TcCLB.421959.10	eukaryotic translation initiation factor 4e, putative	54.565	0.627
TcCLB.422319.10	hypothetical protein	50.406	0.597
TcCLB.424889.10	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	44.068	0.708
TcCLB.427247.10	serine/threonine protein kinase, putative	57.08	0.554
TcCLB.428999.10	hypothetical protein	58.13	0.574
TcCLB.428999.30	hypothetical protein	54.726	0.596
TcCLB.429257.10	hypothetical protein, conserved	47.312	0.703
TcCLB.429257.20	fatty acid desaturase, putative	52.288	0.633
TcCLB.430605.10	hypothetical protein, conserved	55.76	0.584
TcCLB.430605.20	PTP1-interacting protein, 39 kDa, putative	54.909	0.602
TcCLB.430605.29	40S ribosomal protein S3, putative	40.782	0.779
TcCLB.430605.40	2Fe-2S iron-sulfur cluster binding domain containing protein, putative	55.365	0.632
TcCLB.430895.10	hypothetical protein, conserved	56.652	0.571
TcCLB.432787.10	hypothetical protein, conserved (pseudogene)	50.878	0.605
TcCLB.434259.10	RNA polymerase-associated protein CTR9, putative	51.364	0.627
TcCLB.434931.10	paraxonemal rod protein PAR2, putative	31.217	0.894
TcCLB.434945.10	hypothetical protein, conserved	50.733	0.671
TcCLB.436497.10	hypothetical protein	27.005	0.378
TcCLB.436535.10	hypothetical protein, conserved	61.0	0.592
TcCLB.436535.19	Glucose-6-phosphate dehydrogenase, putative	55.637	0.627
TcCLB.437545.10	3-oxo-5-alpha-steroid 4-dehydrogenase, putative,3-oxo-5-alpha-steroid 4-dehydrogenase (pseudogene), putative	44.365	0.721
TcCLB.441401.10	imidazolonepropienase, putative	51.521	0.66
TcCLB.442383.19	hypothetical protein	60.929	0.503
TcCLB.444331.10	mucin-associated surface protein (MASP), putative	56.594	0.549
TcCLB.445011.10	hypothetical protein, conserved	58.693	0.569
TcCLB.445553.10	hypothetical protein, conserved	57.822	0.518
TcCLB.445635.10	receptor-type adenylate cyclase (pseudogene), putative	39.967	0.725
TcCLB.445849.10	hypothetical protein, conserved	56.17	0.542
TcCLB.445869.10	hypothetical protein, conserved	55.759	0.594
TcCLB.447255.20	NAD-dependent deacetylase, putative,transcriptional regulator, Sir2 family protein, putative,nicotinic acid mononucleotide 5,6-dimethylbenzimidazole (cobb) protein, putative	52.73	0.56
TcCLB.447255.29	multidrug resistance-associated protein, putative	52.743	0.583
TcCLB.450061.10	hypothetical protein, conserved	51.423	0.522
TcCLB.456097.10	hypothetical protein	45.531	0.546
TcCLB.456097.30	glycerophosphoryl diester phosphodiesterase, putative	55.692	0.49
TcCLB.456139.10	hypothetical protein, conserved	54.305	0.56
TcCLB.458015.10	hypothetical protein, conserved	56.431	0.587
TcCLB.458015.4	hypothetical protein, conserved	53.292	0.608
TcCLB.461165.10	hypothetical protein, conserved	58.087	0.491
TcCLB.462761.10	surface protease GP63, putative	54.747	0.605
TcCLB.462761.4	hypothetical protein, conserved	57.836	0.576
TcCLB.463155.20	retrotransposon hot spot (RHS) protein, putative	56.946	0.538
TcCLB.463155.40	glycine dehydrogenase [decarboxylating] (pseudogene), putative	58.093	0.497
TcCLB.464807.10	serine/threonine protein kinase, putative	49.877	0.634
TcCLB.466823.10	hypothetical protein, conserved	47.51	0.702
TcCLB.468217.30	trans-sialidase, putative	50.657	0.601
TcCLB.469785.10	hypothetical protein, conserved	56.402	0.561
TcCLB.469785.20	hypothetical protein, conserved	61.0	0.52
TcCLB.469785.30	hypothetical protein	56.96	0.545
TcCLB.469785.40	RNA-binding protein, putative	59.113	0.605
TcCLB.472253.10	vacuolar protein sorting complex subunit (pseudogene), putative	50.096	0.449
TcCLB.473111.10	lathosterol oxidase, putative	48.284	0.487
TcCLB.476421.9	protein kinase, putative	56.329	0.548
TcCLB.477079.10	protein kinase, putative	57.353	0.532
TcCLB.480653.10	hypothetical protein, conserved	54.25	0.639
TcCLB.480785.10	protein kinase, putative	57.517	0.591
TcCLB.480975.10	hypothetical protein, conserved	61.0	0.539
TcCLB.480997.10	hypothetical protein, conserved	57.391	0.56
TcCLB.482369.10	protein phosphatase 2A regulatory subunit, putative	56.288	0.556
TcCLB.482369.20	hypothetical protein, conserved	58.912	0.563
TcCLB.483623.10	hypothetical protein, conserved	59.702	0.588
TcCLB.485889.10	hypothetical protein, conserved	57.067	0.553
TcCLB.486901.10	endonuclease/exonuclease/phosphatase, putative	54.976	0.551
TcCLB.487507.10	tryparedoxin peroxidase, putative	38.645	0.833
TcCLB.498829.10	mucin TcMUC, putative	57.707	0.567
TcCLB.498829.21	hypothetical protein	52.909	0.615
TcCLB.503401.20	hypothetical protein, conserved	58.816	0.592
TcCLB.503401.40	glycosyl transferase, putative	58.518	0.54
TcCLB.503405.10	glutamine synthetase, putative	57.133	0.517
TcCLB.503407.10	hypothetical protein, conserved	60.485	0.579
TcCLB.503407.20	SUMO1/Ulp2, putative,cysteine peptidase, Clan CA, family C48, putative	57.389	0.564
TcCLB.503409.10	hypothetical protein, conserved	57.159	0.547
TcCLB.503409.20	hypothetical protein, conserved	56.048	0.585
TcCLB.503419.10	hypothetical protein	52.38	0.572
TcCLB.503419.20	adenosine deaminase-like protein, putative (ADAT1h)	58.78	0.54
TcCLB.503419.30	thiol-dependent reductase 1, putative,thiol transferase, putative,glutathione s-transferase, putative (TcAc2)	53.51	0.601
TcCLB.503419.40	hypothetical protein, conserved	59.359	0.534
TcCLB.503419.50	RGG2, putative (RGG2)	56.135	0.592
TcCLB.503419.54	hypothetical protein, conserved	60.201	0.544
TcCLB.503419.60	hypothetical protein, conserved	57.856	0.513
