name,length,num_reads,num_reads_primary,num_reads_secondary,gc,ct
LmjF.01.0010,353,1826,1544,257,0.584,0.708
LmjF.01.0020,193,1386,869,358,0.627,0.668
LmjF.01.0030,589,1192,1089,76,0.601,0.61
LmjF.01.0040,324,1694,1152,196,0.642,0.645
LmjF.01.0050,179,1521,1326,142,0.626,0.682
LmjF.01.0060,204,1539,796,667,0.618,0.51
LmjF.01.0070,356,672,571,39,0.604,0.666
LmjF.01.0080,133,1342,1206,92,0.564,0.669
LmjF.01.0090,53,344,304,30,0.585,0.585
LmjF.01.0100,356,1059,885,66,0.626,0.548
LmjF.01.0110,267,3689,3350,169,0.61,0.536
LmjF.01.0120,373,704,440,179,0.603,0.625
LmjF.01.0130,219,1567,1186,133,0.635,0.452
LmjF.01.0140,115,3396,3074,237,0.652,0.565
LmjF.01.0150,173,2291,1885,235,0.665,0.59
LmjF.01.0160,74,2997,2030,764,0.703,0.676
LmjF.01.0170,824,1819,1737,35,0.569,0.541
LmjF.01.0180,680,1595,1308,121,0.578,0.603
LmjF.01.0190,131,3419,3029,277,0.611,0.489
LmjF.01.0200,153,220,167,20,0.621,0.601
LmjF.01.0210,234,3495,1808,857,0.62,0.432
LmjF.01.0220,142,2579,1865,627,0.585,0.62
LmjF.01.0230,117,1632,758,502,0.607,0.573
LmjF.01.0240,76,798,749,28,0.566,0.579
LmjF.01.0250,262,1422,1207,137,0.607,0.443
LmjF.01.0260,218,1811,1529,121,0.573,0.569
LmjF.01.0270,570,2283,2073,76,0.618,0.451
LmjF.01.0280,274,1655,1588,28,0.613,0.617
LmjF.01.0290,174,2432,2037,138,0.563,0.569
LmjF.01.0300,89,17459,14971,2268,0.472,0.573
LmjF.01.0310,9,1637,1590,12,0.556,0.556
LmjF.01.0315,51,2072,1307,516,0.549,0.51
LmjF.01.0320,189,1369,1283,43,0.481,0.529
LmjF.01.0330,64,1541,1237,293,0.219,0.484
LmjF.01.0335,165,5416,2621,2002,0.43,0.497
LmjF.01.0340,199,2543,2326,155,0.467,0.543
LmjF.01.0350,827,1586,1514,28,0.567,0.514
LmjF.01.0360,51,1607,1491,44,0.608,0.353
LmjF.01.0370,21,3656,3230,350,0.524,0.381
LmjF.01.0380,80,1212,1068,119,0.562,0.325
LmjF.01.0390,47,1204,1080,87,0.617,0.468
LmjF.01.0400,33,1147,1074,64,0.636,0.515
LmjF.01.0410,28,52699,49829,1742,0.607,0.536
LmjF.01.0420,27,53900,49557,1742,0.556,0.481
LmjF.01.0430,11,938,640,267,0.455,0.182
LmjF.01.0440,568,1897,878,805,0.574,0.593
LmjF.01.0450,299,2448,1956,181,0.625,0.662
LmjF.01.0460,1362,2720,2441,94,0.606,0.568
LmjF.01.0470,341,3643,3305,92,0.551,0.616
LmjF.01.0480,241,2506,1664,533,0.568,0.689
LmjF.01.0490,523,390,249,83,0.589,0.543
LmjF.01.0500,101,853,797,18,0.663,0.604
LmjF.01.0510,515,983,851,91,0.606,0.551
LmjF.01.0520,197,7385,6476,664,0.553,0.589
