name,Cmax,pos,Ymax,pos,Smax,pos,Smean,D,?,Dmaxcut,Networks-used
TcCLB.397937.10,0.121,51,0.111,11,0.146,1,0.102,0.106,N,0.450,SignalP-noTM
TcCLB.397937.5,0.119,40,0.117,12,0.151,15,0.125,0.121,N,0.450,SignalP-noTM
TcCLB.398343.9,0.357,37,0.543,37,0.929,26,0.759,0.660,Y,0.450,SignalP-noTM
TcCLB.398345.10,0.198,38,0.144,38,0.181,37,0.101,0.120,N,0.450,SignalP-noTM
TcCLB.398751.10,0.119,45,0.119,12,0.147,1,0.113,0.116,N,0.450,SignalP-noTM
TcCLB.399033.10,0.110,48,0.106,70,0.132,21,0.098,0.101,N,0.450,SignalP-noTM
TcCLB.399033.19,0.291,28,0.295,28,0.626,1,0.335,0.317,N,0.450,SignalP-noTM
TcCLB.400945.10,0.211,64,0.275,64,0.500,60,0.206,0.247,N,0.500,SignalP-TM
TcCLB.401041.10,0.331,42,0.182,42,0.134,19,0.104,0.140,N,0.450,SignalP-noTM
TcCLB.401473.9,0.183,26,0.195,12,0.478,2,0.273,0.237,N,0.450,SignalP-noTM
TcCLB.401569.10,0.152,19,0.138,19,0.179,15,0.128,0.133,N,0.450,SignalP-noTM
TcCLB.401661.10,0.168,24,0.127,24,0.129,23,0.097,0.111,N,0.450,SignalP-noTM
TcCLB.403153.10,0.134,42,0.139,50,0.277,41,0.123,0.131,N,0.450,SignalP-noTM
TcCLB.403153.20,0.107,49,0.113,14,0.147,11,0.118,0.116,N,0.450,SignalP-noTM
TcCLB.403789.9,0.269,21,0.201,21,0.206,1,0.145,0.171,N,0.450,SignalP-noTM
TcCLB.404001.10,0.139,32,0.117,32,0.118,42,0.100,0.108,N,0.450,SignalP-noTM
TcCLB.404001.20,0.131,18,0.117,18,0.151,7,0.108,0.112,N,0.450,SignalP-noTM
TcCLB.404001.4,0.109,50,0.106,68,0.123,49,0.102,0.104,N,0.450,SignalP-noTM
TcCLB.404711.10,0.111,60,0.121,12,0.162,2,0.118,0.119,N,0.450,SignalP-noTM
TcCLB.404843.10,0.135,17,0.140,17,0.262,3,0.145,0.143,N,0.450,SignalP-noTM
TcCLB.404843.20,0.138,39,0.157,39,0.281,38,0.154,0.156,N,0.500,SignalP-TM
TcCLB.404975.30,0.138,51,0.123,18,0.163,1,0.124,0.123,N,0.450,SignalP-noTM
TcCLB.405165.10,0.134,54,0.119,54,0.127,45,0.100,0.109,N,0.450,SignalP-noTM
TcCLB.405165.19,0.109,35,0.113,65,0.136,56,0.096,0.106,N,0.500,SignalP-TM
TcCLB.405179.10,0.135,21,0.171,11,0.322,4,0.243,0.210,N,0.450,SignalP-noTM
