gene_id,type,percent_disorder,average_dnds,fpkm,nc,gc,protein_length,gravy,cai,taxon
LmjF.01.0040,orphan,40.16064257,0.21261,10.4148,46.46,0.637,189,-0.38466,0.344,LEISH
LmjF.01.0170,orphan,46.91119691,0.57074,21.6484,47.69,0.642,458,-0.41354,0.329,LEISH
LmjF.01.0230,orphan,0.505050505,0.30554,15.6821,41.75,0.63,138,0.01594,0.472,LEISH
LmjF.01.0400,orphan,18.57835218,0.45716,6.4086,45.93,0.664,559,-0.13542,0.346,LEISH
LmjF.01.0440,orphan,1.854714065,0.27046,26.5053,38.63,0.649,587,0.52215,0.519,LEISH
LmjF.01.0550,orphan,47.85100287,0.39088,10.8799,44.3,0.681,289,-0.35536,0.36,LEISH
LmjF.01.0630,orphan,60,0.7141,14.266,42.62,0.674,625,-0.412,0.327,LEISH
LmjF.01.0670,orphan,70.68493151,0.26635,19.7827,38.36,0.675,305,-0.41803,0.493,LEISH
LmjF.01.0680,orphan,84.41860465,0.53722,19.3042,46.52,0.657,800,-0.57488,0.347,LEISH
LmjF.01.0700,orphan,38.53503185,0.57588,19.6363,43.87,0.646,254,-0.16457,0.358,LEISH
LmjF.01.0760,orphan,17.79448622,0.42703,30.7138,41.96,0.669,339,-0.0351,0.417,LEISH
LmjF.02.0340,orphan,29.33204259,0.5645,11.3705,46.08,0.656,973,-0.02374,0.332,LEISH
LmjF.02.0480,orphan,88.41059603,0.37577,12.2028,41.41,0.682,242,-0.63802,0.409,LEISH
LmjF.02.0490,orphan,50.12987013,0.55553,9.6674,46.14,0.66,710,-0.44268,0.323,LEISH
LmjF.02.0520,orphan,84.43142997,0.51816,17.0454,46.21,0.673,1989,-0.55083,0.343,LEISH
LmjF.02.0530,orphan,59.43600868,0.62944,28.2132,49.17,0.652,862,-0.27158,0.336,LEISH
LmjF.02.0560,orphan,49.28492849,0.41078,12.0335,47.98,0.654,849,-0.29258,0.347,LEISH
LmjF.02.0640,orphan,16.74608577,0.38082,9.3785,46.38,0.659,1409,-0.02413,0.373,LEISH
LmjF.02.0720,orphan,0,0.73077,4.5954,46.08,0.592,80,0.13,0.323,LEISH
LmjF.03.0170,orphan,58.33333333,0.82937,18.9218,45.14,0.628,192,-0.29792,0.371,LEISH
LmjF.03.0260,orphan,19.88950276,0.44544,7.929,41.32,0.648,302,-0.29801,0.396,LEISH
LmjF.03.0280,orphan,38.26086957,0.73491,12.3272,49.64,0.657,975,-0.22821,0.318,LEISH
LmjF.03.0360,orphan,84.65116279,0.76408,17.936,49.34,0.657,1660,-0.39133,0.309,LEISH
LmjF.03.0420,orphan,53.43468468,0.55889,8.1366,46.32,0.662,1716,-0.32523,0.341,LEISH
LmjF.03.0460,orphan,65.24064171,0.5005,18.4584,48.35,0.672,1062,-0.50669,0.358,LEISH
LmjF.03.0550,orphan,40.77034884,0.44247,11.5689,44.71,0.645,1316,-0.2541,0.364,LEISH
LmjF.03.0560,orphan,45.50128535,0.5045,23.882,48.39,0.654,718,-0.2688,0.326,LEISH
LmjF.03.0790,orphan,42.02020202,0.34203,10.4637,45.04,0.67,435,-0.16391,0.353,LEISH
LmjF.03.0810,orphan,44.11247803,0.54147,7.9305,42.31,0.686,1078,-0.23655,0.383,LEISH
LmjF.04.0080,orphan,53.21100917,0.41573,12.7668,42.49,0.637,158,-0.43481,0.381,LEISH
LmjF.04.0110,orphan,33.16953317,0.47153,16.4711,50.69,0.645,347,-0.20865,0.274,LEISH
LmjF.04.0127,orphan,78.94736842,0.52329,14.8056,54.16,0.61,434,-0.61544,0.227,LEISH
LmjF.04.0210,orphan,8.902077151,0.30485,24.7987,37.33,0.656,277,0.17112,0.517,LEISH
LmjF.04.0230,orphan,28.30188679,0.43422,29.7561,47.14,0.61,258,-0.03915,0.368,LEISH
LmjF.04.0260,orphan,17.98780488,0.39934,16.9954,43.59,0.638,268,-0.23508,0.371,LEISH
LmjF.04.0390,orphan,14.14473684,0.42741,16.9943,43.05,0.597,244,-0.12582,0.409,LEISH
LmjF.04.0510,orphan,33.1202046,0.74355,30.5146,48.93,0.645,1504,0.0244,0.325,LEISH
LmjF.04.0530,orphan,47.24409449,0.45897,10.4203,46.79,0.669,448,-0.15469,0.351,LEISH
LmjF.04.0590,orphan,3.058103976,0.16647,23.7928,40.02,0.623,267,0.2221,0.406,LEISH
LmjF.04.0620,orphan,91.57733538,0.69345,9.3938,51.73,0.658,1246,-0.69085,0.294,LEISH
LmjF.04.0625,orphan,39.94974874,0.91787,63.598,58.07,0.519,338,-0.35325,0.185,LEISH
LmjF.04.0640,orphan,5.655526992,0.21812,28.1534,46.74,0.624,329,0.41641,0.378,LEISH
LmjF.04.0690,orphan,44.22604423,0.32057,31.7522,42.55,0.668,754,-0.34456,0.387,LEISH
LmjF.04.0700,orphan,57.92163543,0.48413,4.5818,50.08,0.662,1114,-0.36104,0.308,LEISH
LmjF.04.0720,orphan,68.81443299,0.6861,11.7215,47.96,0.648,716,-0.46075,0.36,LEISH
LmjF.04.0740,orphan,64.49771689,0.4666,12.6902,45.32,0.675,816,-0.51556,0.338,LEISH
LmjF.04.0790,orphan,65.96306069,0.51873,13.396,44.24,0.66,1077,-0.57902,0.353,LEISH
LmjF.04.0880,orphan,100,0.56761,16.3274,49.79,0.656,180,-0.89389,0.424,LEISH
LmjF.04.0920,orphan,79.51441578,0.31919,28.4032,40.86,0.671,599,-0.50835,0.402,LEISH
LmjF.04.1020,orphan,8.208955224,0.53152,133.404,44.78,0.559,208,0.36683,0.286,LEISH
LmjF.04.1060,orphan,62.3853211,0.46785,14.8343,50.66,0.641,485,-0.38639,0.333,LEISH
LmjF.05.0160,orphan,61.41868512,0.49553,9.1934,47.69,0.653,518,-0.58185,0.322,LEISH
LmjF.05.0170,orphan,75.76126675,0.44674,14.7779,49.67,0.674,761,-0.55427,0.305,LEISH
LmjF.05.0285,orphan,15.45064378,0.65435,12.1378,47.34,0.642,173,-0.0133,0.279,LEISH
LmjF.05.0300,orphan,32.09351753,0.63623,14.0535,48.25,0.659,881,-0.22804,0.325,LEISH
LmjF.05.0370,orphan,62.62886598,0.32238,30.0102,41.98,0.678,328,-0.54299,0.411,LEISH
LmjF.05.0470,orphan,40.19851117,0.57136,15.7269,55.38,0.606,343,-0.33061,0.248,LEISH
LmjF.05.0540,orphan,44.1025641,0.16242,22.4335,48.56,0.642,135,-0.22963,0.434,LEISH
LmjF.05.0620,orphan,68.95074946,0.72008,14.8808,48.59,0.661,874,-0.45275,0.331,LEISH
LmjF.05.0650,orphan,48.38012959,0.38601,44.9672,41.98,0.675,866,-0.32968,0.403,LEISH
LmjF.05.0730,orphan,76.56641604,0.43035,26.4887,42.9,0.665,738,-0.76707,0.377,LEISH
LmjF.05.0770,orphan,86.93502825,0.68462,13.8096,47.81,0.673,1356,-0.44403,0.319,LEISH
LmjF.05.0840,orphan,89.49175824,0.52459,25.1657,46.07,0.654,1396,-0.66361,0.36,LEISH
LmjF.05.0940,orphan,69.21944035,0.73766,25.0637,48.26,0.644,1298,-0.42743,0.333,LEISH
LmjF.05.1120,orphan,0,0.33675,19.8944,44.09,0.619,111,0.43784,0.435,LEISH
LmjF.05.1160,orphan,51.11607143,0.58663,13.3006,48.73,0.646,836,-0.35144,0.317,LEISH
LmjF.06.0060,orphan,28.60892388,0.60793,18.307,49.37,0.617,321,-0.50717,0.327,LEISH
LmjF.06.0320,orphan,73.89298893,0.61971,21.3885,49.29,0.633,1024,-0.61221,0.312,LEISH
LmjF.06.0420,orphan,69.1943128,0.78353,14.7759,48.02,0.651,573,-0.41955,0.315,LEISH
LmjF.06.0450,orphan,73.26923077,0.67611,18.4985,45.42,0.657,460,-0.445,0.359,LEISH
