gene_id,fdr
LmjF.10.0460,0.000 
LmjF.10.0465,0.000 
LmjF.10.0480,0.000 
LmjF.13.1210,0.001 
LmjF.11.0550,0.006 
LmjF.06.0120,0.009 
LmjF.36.1940,0.010 
LmjF.03.0160,0.026 
LmjF.15.1320,0.026 
LmjF.30.1330,0.026 
LmjF.30.0430,0.036 
LmjF.19.0710,0.050 
LmjF.29.0760,0.050 
LmjF.14.0740,0.074 
LmjF.36.4360,0.074 
LmjF.18.0880,0.109 
LmjF.19.0400,0.109 
LmjF.32.1970,0.129 
LmjF.07.0200,0.216 
LmjF.24.1315,0.216 
LmjF.33.3050,0.216 
LmjF.34.0840,0.216 
LmjF.17.0237,0.252 
LmjF.17.0870,0.252 
LmjF.18.0010,0.252 
LmjF.26.0390,0.252 
LmjF.32.2900,0.252 
LmjF.36.0010,0.252 
LmjF.08.0290,0.288 
LmjF.09.0174,0.288 
LmjF.14.0130,0.288 
LmjF.18.0360,0.288 
LmjF.26.1240,0.288 
LmjF.26.1950,0.288 
LmjF.29.2500,0.288 
LmjF.33.1750,0.288 
LmjF.07.1030,0.323 
LmjF.17.0200,0.323 
LmjF.23.0240,0.323 
LmjF.34.4360,0.323 
LmjF.34.4420,0.323 
LmjF.34.4450,0.323 
LmjF.34.4480,0.323 
LmjF.34.4510,0.323 
LmjF.16.0830,0.360 
LmjF.19.0470,0.360 
LmjF.27.0760,0.360 
LmjF.35.1720,0.360 
LmjF.20.1300,0.394 
LmjF.29.1830,0.394 
LmjF.30.2030,0.394 
LmjF.02.0010,0.428 
LmjF.14.0700,0.428 
LmjF.23.0210,0.428 
LmjF.23.1040,0.428 
LmjF.23.1082,0.428 
LmjF.23.1088,0.428 
LmjF.33.0260,0.428 
LmjF.13.1680,0.463 
LmjF.16.0530,0.463 
LmjF.17.0230,0.463 
LmjF.25.1450,0.463 
LmjF.25.2460,0.463 
LmjF.26.1630,0.463 
LmjF.26.1640,0.463 
LmjF.35.0130,0.463 
LmjF.36.1960,0.463 
LmjF.36.6230,0.463 
LmjF.02.0210,0.493 
LmjF.04.0820,0.493 
LmjF.23.0110,0.493 
LmjF.24.2110,0.493 
LmjF.33.0312,0.493 
LmjF.33.0323,0.493 
LmjF.33.0326,0.493 
LmjF.33.0333,0.493 
LmjF.33.0336,0.493 
LmjF.33.0343,0.493 
LmjF.33.0350,0.493 
LmjF.33.0365,0.493 
LmjF.35.5250,0.493 
LmjF.06.0870,0.522 
