gene_id,fdr
TcCLB.503601.10,0.000 
TcCLB.503783.70,0.000 
TcCLB.503783.80,0.000 
TcCLB.506837.10,0.000 
TcCLB.507547.18,0.000 
TcCLB.507547.9,0.000 
TcCLB.507847.20,0.000 
TcCLB.508765.50,0.000 
TcCLB.508767.20,0.000 
TcCLB.509739.10,0.000 
TcCLB.509847.70,0.000 
TcCLB.510049.10,0.000 
TcCLB.511197.60,0.000 
TcCLB.511625.100,0.000 
TcCLB.511625.130,0.000 
TcCLB.511625.149,0.000 
TcCLB.511625.90,0.000 
TcCLB.506513.70,0.001 
TcCLB.507047.40,0.001 
TcCLB.507759.10,0.001 
TcCLB.507979.30,0.001 
TcCLB.508903.10,0.001 
TcCLB.511311.20,0.001 
TcCLB.511311.30,0.001 
TcCLB.511627.20,0.001 
TcCLB.509847.50,0.002 
TcCLB.503783.34,0.003 
TcCLB.509765.50,0.003 
TcCLB.511197.10,0.004 
TcCLB.507045.5,0.005 
TcCLB.508903.110,0.005 
TcCLB.511309.80,0.005 
TcCLB.511625.140,0.005 
TcCLB.503783.17,0.006 
TcCLB.509735.100,0.008 
TcCLB.511107.5,0.008 
TcCLB.511617.9,0.009 
TcCLB.509099.10,0.011 
TcCLB.421173.14,0.015 
TcCLB.509735.150,0.018 
TcCLB.506517.140,0.021 
TcCLB.509763.10,0.021 
TcCLB.411337.10,0.026 
TcCLB.511115.20,0.036 
TcCLB.511303.150,0.036 
TcCLB.508771.10,0.050 
TcCLB.511109.10,0.050 
TcCLB.510055.10,0.074 
TcCLB.506519.40,0.091 
TcCLB.511621.50,0.091 
TcCLB.511627.120,0.091 
TcCLB.506517.14,0.109 
TcCLB.509765.95,0.109 
TcCLB.510165.70,0.109 
TcCLB.413977.10,0.129 
TcCLB.507761.10,0.129 
TcCLB.509099.120,0.129 
TcCLB.511303.70,0.129 
TcCLB.506979.30,0.154 
TcCLB.511109.130,0.154 
TcCLB.507979.10,0.182 
TcCLB.511621.170,0.182 
TcCLB.503601.20,0.216 
TcCLB.509847.10,0.216 
TcCLB.511627.110,0.216 
TcCLB.508765.40,0.252 
TcCLB.511621.40,0.252 
TcCLB.461515.10,0.288 
TcCLB.503493.40,0.288 
TcCLB.503751.20,0.288 
TcCLB.506519.140,0.288 
TcCLB.507979.40,0.288 
TcCLB.508771.20,0.288 
TcCLB.510055.30,0.288 
TcCLB.511621.240,0.288 
TcCLB.511625.20,0.288 
TcCLB.507045.10,0.323 
TcCLB.507847.10,0.323 
TcCLB.509501.10,0.323 
TcCLB.511303.100,0.323 
TcCLB.511303.60,0.323 
TcCLB.511315.44,0.323 
TcCLB.511621.160,0.323 
TcCLB.507047.120,0.360 
TcCLB.507047.70,0.360 
TcCLB.508903.30,0.360 
TcCLB.511109.70,0.360 
TcCLB.511303.40,0.360 
TcCLB.511621.200,0.360 
TcCLB.511621.70,0.360 
TcCLB.503967.10,0.394 
TcCLB.504117.20,0.394 
TcCLB.506513.190,0.394 
TcCLB.506513.30,0.394 
TcCLB.506519.100,0.394 
TcCLB.508771.40,0.394 
TcCLB.510055.60,0.394 
TcCLB.511107.10,0.394 
TcCLB.511189.70,0.394 
TcCLB.511303.120,0.394 
TcCLB.503783.50,0.428 
TcCLB.506517.110,0.428 
TcCLB.506519.60,0.428 
TcCLB.506519.80,0.428 
TcCLB.509099.110,0.428 
TcCLB.511189.10,0.428 
TcCLB.511307.6,0.428 
TcCLB.511621.60,0.428 
TcCLB.511625.10,0.428 
TcCLB.506515.29,0.463 
TcCLB.506979.40,0.463 
TcCLB.506979.59,0.463 
TcCLB.507047.80,0.463 
TcCLB.507975.70,0.463 
TcCLB.509765.20,0.463 
TcCLB.511109.20,0.463 
TcCLB.511309.70,0.463 
TcCLB.508811.55,0.493 
TcCLB.509845.9,0.493 
TcCLB.510053.40,0.493 
TcCLB.510053.50,0.493 
TcCLB.510053.79,0.493 
TcCLB.511107.30,0.493 
TcCLB.511303.130,0.493 
TcCLB.511315.20,0.493 
TcCLB.511625.50,0.493 
