gene_id	gene_name	enc	cai
LmjF.01.0010	hypothetical protein, unknown function	41.38	0.537
LmjF.01.0020	hypothetical protein, conserved	41.809	0.534
LmjF.01.0030	MCAK-like kinesin, putative	36.061	0.581
LmjF.01.0050	carboxylase, putative	36.245	0.652
LmjF.01.0060	hypothetical protein, conserved	45.678	0.487
LmjF.01.0070	hypothetical protein, conserved	44.078	0.51
LmjF.01.0080	hypothetical protein, conserved	41.223	0.558
LmjF.01.0090	hypothetical protein, conserved	42.41	0.537
LmjF.01.0100	hypothetical protein, conserved	42.944	0.492
LmjF.01.0120	hypothetical protein, conserved	45.661	0.465
LmjF.01.0130	hypothetical protein, conserved	45.34	0.456
LmjF.01.0170	hypothetical protein, conserved	47.693	0.422
LmjF.01.0180	CLC-type chloride channel, putative	37.031	0.627
LmjF.01.0200	hypothetical protein, conserved	43.684	0.472
LmjF.01.0210	hypothetical protein, conserved	46.083	0.471
LmjF.01.0220	cyclophilin 12, putative (CYP12)	44.054	0.54
LmjF.01.0240	DNA excision/repair protein SNF2, putative	41.686	0.516
LmjF.01.0250	hypothetical protein, conserved	42.876	0.494
LmjF.01.0260	hypothetical protein, conserved	42.696	0.459
LmjF.01.0280	pseudouridylate synthase-like protein	40.184	0.54
LmjF.01.0310	acidocalcisomal exopolyphosphatase, putative	54.785	0.382
LmjF.01.0320	poly(A) export protein, putative	55.009	0.34
LmjF.01.0330	hypothetical protein, conserved	60.73	0.291
LmjF.01.0340	hypothetical protein, conserved	47.116	0.421
LmjF.01.0350	hypothetical protein, conserved	43.751	0.493
LmjF.01.0380	hypothetical protein, conserved	38.985	0.552
LmjF.01.0390	hypothetical protein, conserved	41.451	0.517
LmjF.01.0400	hypothetical protein, conserved	45.927	0.436
LmjF.01.0410	ribosomal protein S7, putative	28.551	0.816
LmjF.01.0420	ribosomal protein S7, putative	28.551	0.816
LmjF.01.0430	hypothetical protein, conserved	43.085	0.501
LmjF.01.0440	hypothetical protein, unknown function	38.627	0.604
LmjF.01.0450	nicotinamidase, putative (PNC1)	39.661	0.562
LmjF.01.0460	hypothetical protein, conserved	37.106	0.625
LmjF.01.0470	fatty acyl CoA syntetase 1, putative	33.382	0.686
LmjF.01.0480	beta eliminating lyase,putative	35.985	0.592
LmjF.01.0490	long-chain-fatty-acid-CoA ligase, putative	34.658	0.638
LmjF.01.0500	fatty acyl CoA synthetase 2, putative	33.357	0.67
LmjF.01.0520	long-chain-fatty-acid-CoA ligase, putative	32.089	0.703
LmjF.01.0530	long-chain-fatty-acid-CoA ligase, putative	40.557	0.526
