gene,pathway
FBgn0001258,path:dme00010
FBgn0035679,path:dme00010
FBgn0034356,path:dme00010
FBgn0030525,path:dme00010
FBgn0010548,path:dme00010
FBgn0037115,path:dme00010
FBgn0039635,path:dme00010
FBgn0001091,path:dme00010
FBgn0036723,path:dme00010
FBgn0033856,path:dme00010
FBgn0031463,path:dme00010
FBgn0014869,path:dme00010
FBgn0011270,path:dme00010
FBgn0000579,path:dme00010
FBgn0003067,path:dme00010
FBgn0086355,path:dme00010
FBgn0037537,path:dme00010
FBgn0031462,path:dme00010
FBgn0001186,path:dme00010
FBgn0051075,path:dme00010
FBgn0250906,path:dme00010
FBgn0032820,path:dme00010
FBgn0043783,path:dme00010
FBgn0052445,path:dme00010
FBgn0042710,path:dme00010
FBgn0042711,path:dme00010
FBgn0000055,path:dme00010
FBgn0012036,path:dme00010
FBgn0003071,path:dme00010
FBgn0026061,path:dme00010
FBgn0026060,path:dme00010
FBgn0032372,path:dme00010
FBgn0003076,path:dme00010
FBgn0031912,path:dme00010
FBgn0039425,path:dme00010
FBgn0000064,path:dme00010
FBgn0011768,path:dme00010
FBgn0036402,path:dme00010
FBgn0028325,path:dme00010
FBgn0029722,path:dme00010
FBgn0038952,path:dme00010
FBgn0267385,path:dme00010
FBgn0038258,path:dme00010
FBgn0036762,path:dme00010
FBgn0033377,path:dme00010
FBgn0001187,path:dme00010
FBgn0003074,path:dme00010
FBgn0001092,path:dme00010
FBgn0028540,path:dme00010
FBgn0034173,path:dme00010
FBgn0012034,path:dme00010
FBgn0036857,path:dme00010
FBgn0031451,path:dme00010
FBgn0039112,path:dme00020
FBgn0029118,path:dme00020
FBgn0004888,path:dme00020
FBgn0036327,path:dme00020
FBgn0036328,path:dme00020
FBgn0034356,path:dme00020
FBgn0010352,path:dme00020
FBgn0039635,path:dme00020
FBgn0037643,path:dme00020
FBgn0027291,path:dme00020
FBgn0037988,path:dme00020
FBgn0027580,path:dme00020
FBgn0261439,path:dme00020
FBgn0003067,path:dme00020
FBgn0051874,path:dme00020
FBgn0052026,path:dme00020
FBgn0014028,path:dme00020
FBgn0035240,path:dme00020
FBgn0035005,path:dme00020
FBgn0261955,path:dme00020
FBgn0028336,path:dme00020
FBgn0029890,path:dme00020
FBgn0037862,path:dme00020
FBgn0024958,path:dme00020
FBgn0039358,path:dme00020
FBgn0037891,path:dme00020
FBgn0031912,path:dme00020
FBgn0262782,path:dme00020
FBgn0036222,path:dme00020
FBgn0036162,path:dme00020
FBgn0038708,path:dme00020
FBgn0024957,path:dme00020
FBgn0038922,path:dme00020
FBgn0037860,path:dme00020
FBgn0037873,path:dme00020
FBgn0028325,path:dme00020
FBgn0029722,path:dme00020
FBgn0001248,path:dme00020
FBgn0030975,path:dme00020
FBgn0036762,path:dme00020
FBgn0262559,path:dme00020
FBgn0020236,path:dme00020
FBgn0010100,path:dme00020
FBgn0030596,path:dme00030
FBgn0004057,path:dme00030
FBgn0030586,path:dme00030
FBgn0025640,path:dme00030
FBgn0032424,path:dme00030
FBgn0030239,path:dme00030
FBgn0023477,path:dme00030
FBgn0050410,path:dme00030
FBgn0050499,path:dme00030
FBgn0032820,path:dme00030
FBgn0004654,path:dme00030
FBgn0003071,path:dme00030
FBgn0036784,path:dme00030
FBgn0003076,path:dme00030
FBgn0039425,path:dme00030
FBgn0000064,path:dme00030
FBgn0036030,path:dme00030
FBgn0037147,path:dme00030
FBgn0037607,path:dme00030
FBgn0033377,path:dme00030
FBgn0003074,path:dme00030
FBgn0033735,path:dme00030
FBgn0261445,path:dme00040
FBgn0033949,path:dme00040
FBgn0032684,path:dme00040
FBgn0027552,path:dme00040
FBgn0026756,path:dme00040
FBgn0031887,path:dme00040
FBgn0035476,path:dme00040
FBgn0040262,path:dme00040
FBgn0040261,path:dme00040
FBgn0034417,path:dme00040
FBgn0034605,path:dme00040
FBgn0040250,path:dme00040
FBgn0040253,path:dme00040
FBgn0027070,path:dme00040
FBgn0032713,path:dme00040
FBgn0040260,path:dme00040
FBgn0024289,path:dme00040
FBgn0270927,path:dme00040
FBgn0037537,path:dme00040
FBgn0050499,path:dme00040
FBgn0051002,path:dme00040
FBgn0051075,path:dme00040
FBgn0038463,path:dme00040
FBgn0031418,path:dme00040
FBgn0012036,path:dme00040
FBgn0036842,path:dme00040
FBgn0027073,path:dme00040
FBgn0035978,path:dme00040
FBgn0040091,path:dme00040
FBgn0022359,path:dme00040
FBgn0040252,path:dme00040
FBgn0038082,path:dme00040
FBgn0038083,path:dme00040
FBgn0036183,path:dme00040
FBgn0086254,path:dme00040
FBgn0038886,path:dme00040
FBgn0040256,path:dme00040
FBgn0026315,path:dme00040
FBgn0026314,path:dme00040
FBgn0040255,path:dme00040
FBgn0040251,path:dme00040
FBgn0030968,path:dme00040
FBgn0026754,path:dme00040
FBgn0033101,path:dme00040
FBgn0026755,path:dme00040
FBgn0030737,path:dme00040
FBgn0036300,path:dme00051
FBgn0027552,path:dme00051
FBgn0037279,path:dme00051
FBgn0036160,path:dme00051
FBgn0035476,path:dme00051
FBgn0024289,path:dme00051
FBgn0086355,path:dme00051
FBgn0001186,path:dme00051
FBgn0032820,path:dme00051
FBgn0042710,path:dme00051
FBgn0042711,path:dme00051
FBgn0027621,path:dme00051
FBgn0267823,path:dme00051
FBgn0003071,path:dme00051
FBgn0022359,path:dme00051
FBgn0039425,path:dme00051
FBgn0000064,path:dme00051
FBgn0036183,path:dme00051
FBgn0086254,path:dme00051
FBgn0036942,path:dme00051
FBgn0036941,path:dme00051
FBgn0036161,path:dme00051
FBgn0001187,path:dme00051
FBgn0034035,path:dme00051
FBgn0037744,path:dme00051
FBgn0031661,path:dme00051
FBgn0033101,path:dme00051
FBgn0035679,path:dme00052
FBgn0027552,path:dme00052
FBgn0030525,path:dme00052
FBgn0033296,path:dme00052
FBgn0261575,path:dme00052
FBgn0035147,path:dme00052
FBgn0035476,path:dme00052
FBgn0032381,path:dme00052
FBgn0032382,path:dme00052
FBgn0031463,path:dme00052
FBgn0001186,path:dme00052
FBgn0260746,path:dme00052
FBgn0043783,path:dme00052
FBgn0052445,path:dme00052
FBgn0042710,path:dme00052
FBgn0042711,path:dme00052
FBgn0003071,path:dme00052
FBgn0035978,path:dme00052
FBgn0032372,path:dme00052
FBgn0003076,path:dme00052
FBgn0036183,path:dme00052
FBgn0086254,path:dme00052
FBgn0038619,path:dme00052
FBgn0034117,path:dme00052
FBgn0033377,path:dme00052
FBgn0001187,path:dme00052
FBgn0033297,path:dme00052
FBgn0033294,path:dme00052
FBgn0002569,path:dme00052
FBgn0002571,path:dme00052
FBgn0002570,path:dme00052
FBgn0001089,path:dme00052
FBgn0263200,path:dme00052
FBgn0033101,path:dme00052
FBgn0261445,path:dme00053
FBgn0032684,path:dme00053
FBgn0026756,path:dme00053
FBgn0031887,path:dme00053
FBgn0040262,path:dme00053
FBgn0040261,path:dme00053
FBgn0034605,path:dme00053
FBgn0040250,path:dme00053
FBgn0040253,path:dme00053
FBgn0027070,path:dme00053
FBgn0032713,path:dme00053
FBgn0040260,path:dme00053
FBgn0051002,path:dme00053
FBgn0051075,path:dme00053
FBgn0012036,path:dme00053
FBgn0036842,path:dme00053
FBgn0027073,path:dme00053
FBgn0040091,path:dme00053
FBgn0040252,path:dme00053
FBgn0038082,path:dme00053
FBgn0038083,path:dme00053
FBgn0038886,path:dme00053
FBgn0040256,path:dme00053
FBgn0026315,path:dme00053
FBgn0026314,path:dme00053
FBgn0040255,path:dme00053
FBgn0040251,path:dme00053
FBgn0036262,path:dme00053
FBgn0026754,path:dme00053
FBgn0026755,path:dme00053
FBgn0036857,path:dme00053
FBgn0033246,path:dme00061
FBgn0037356,path:dme00061
FBgn0040001,path:dme00061
FBgn0283427,path:dme00061
FBgn0042627,path:dme00061
FBgn0036821,path:dme00061
FBgn0027348,path:dme00061
FBgn0036691,path:dme00061
FBgn0263120,path:dme00061
FBgn0035471,path:dme00062
FBgn0036128,path:dme00062
FBgn0030057,path:dme00062
FBgn0029975,path:dme00062
FBgn0033883,path:dme00062
FBgn0052072,path:dme00062
FBgn0028479,path:dme00062
FBgn0025352,path:dme00062
FBgn0040064,path:dme00062
FBgn0032358,path:dme00062
FBgn0033879,path:dme00062
FBgn0032394,path:dme00062
FBgn0032524,path:dme00062
FBgn0029969,path:dme00071
FBgn0035811,path:dme00071
FBgn0261862,path:dme00071
FBgn0035169,path:dme00071
FBgn0032775,path:dme00071
FBgn0035383,path:dme00071
FBgn0051075,path:dme00071
FBgn0000055,path:dme00071
FBgn0012036,path:dme00071
FBgn0036824,path:dme00071
FBgn0036821,path:dme00071
FBgn0028479,path:dme00071
FBgn0027348,path:dme00071
FBgn0025352,path:dme00071
FBgn0029924,path:dme00071
FBgn0032160,path:dme00071
FBgn0040064,path:dme00071
FBgn0038742,path:dme00071
FBgn0037999,path:dme00071
FBgn0027572,path:dme00071
