name,Cmax,pos,Ymax,pos,Smax,pos,Smean,D,?,Dmaxcut,Networks-used
LmjF.01.0010:mRNA-p1,0.687,25,0.773,25,0.990,11,0.878,0.830,Y,0.450,SignalP-noTM
LmjF.01.0020:mRNA-p1,0.653,18,0.318,18,0.220,15,0.150,0.227,N,0.450,SignalP-noTM
LmjF.01.0030:mRNA-p1,0.139,41,0.117,41,0.141,40,0.102,0.109,N,0.450,SignalP-noTM
LmjF.01.0040:mRNA-p1,0.111,32,0.117,14,0.160,3,0.132,0.125,N,0.450,SignalP-noTM
LmjF.01.0050:mRNA-p1,0.113,40,0.117,11,0.156,13,0.130,0.124,N,0.450,SignalP-noTM
LmjF.01.0060:mRNA-p1,0.207,43,0.250,43,0.563,41,0.250,0.250,N,0.450,SignalP-noTM
LmjF.01.0070:mRNA-p1,0.122,13,0.112,13,0.130,49,0.106,0.109,N,0.450,SignalP-noTM
LmjF.01.0080:mRNA-p1,0.114,53,0.170,43,0.349,38,0.172,0.171,N,0.500,SignalP-TM
LmjF.01.0090:mRNA-p1,0.131,55,0.134,17,0.246,13,0.177,0.157,N,0.450,SignalP-noTM
LmjF.01.0100:mRNA-p1,0.367,22,0.239,22,0.278,21,0.172,0.212,N,0.500,SignalP-TM
LmjF.01.0110:mRNA-p1,0.260,31,0.256,31,0.440,4,0.279,0.268,N,0.450,SignalP-noTM
LmjF.01.0120:mRNA-p1,0.147,48,0.121,48,0.141,47,0.103,0.111,N,0.450,SignalP-noTM
LmjF.01.0130:mRNA-p1,0.158,43,0.127,43,0.140,1,0.107,0.116,N,0.450,SignalP-noTM
LmjF.01.0140:mRNA-p1,0.116,40,0.108,40,0.133,13,0.105,0.107,N,0.450,SignalP-noTM
LmjF.01.0150:mRNA-p1,0.177,32,0.164,32,0.236,19,0.149,0.158,N,0.500,SignalP-TM
LmjF.01.0160:mRNA-p1,0.306,21,0.260,21,0.409,14,0.219,0.238,N,0.450,SignalP-noTM
LmjF.01.0170:mRNA-p1,0.113,17,0.108,52,0.138,31,0.101,0.104,N,0.450,SignalP-noTM
LmjF.01.0180:mRNA-p1,0.110,55,0.110,68,0.141,54,0.106,0.107,N,0.450,SignalP-noTM
LmjF.01.0190:mRNA-p1,0.114,8,0.108,68,0.129,37,0.102,0.104,N,0.450,SignalP-noTM
LmjF.01.0200:mRNA-p1,0.137,19,0.136,19,0.171,18,0.132,0.134,N,0.450,SignalP-noTM
LmjF.01.0210:mRNA-p1,0.116,29,0.115,11,0.129,1,0.122,0.118,N,0.450,SignalP-noTM
LmjF.01.0220:mRNA-p1,0.134,25,0.180,16,0.342,15,0.265,0.226,N,0.450,SignalP-noTM
LmjF.01.0230:mRNA-p1,0.200,25,0.192,25,0.294,2,0.206,0.198,N,0.500,SignalP-TM
LmjF.01.0240:mRNA-p1,0.113,24,0.112,24,0.155,46,0.111,0.111,N,0.450,SignalP-noTM
LmjF.01.0250:mRNA-p1,0.111,70,0.105,44,0.113,23,0.095,0.100,N,0.450,SignalP-noTM
LmjF.01.0260:mRNA-p1,0.112,56,0.109,41,0.125,32,0.105,0.107,N,0.450,SignalP-noTM
LmjF.01.0270:mRNA-p1,0.308,37,0.187,37,0.188,36,0.110,0.145,N,0.450,SignalP-noTM
LmjF.01.0280:mRNA-p1,0.557,16,0.561,16,0.805,15,0.568,0.565,Y,0.450,SignalP-noTM
LmjF.01.0290:mRNA-p1,0.108,37,0.105,42,0.123,35,0.097,0.100,N,0.450,SignalP-noTM
LmjF.01.0300:mRNA-p1,0.114,48,0.109,48,0.117,25,0.102,0.105,N,0.450,SignalP-noTM
LmjF.01.0310:mRNA-p1,0.182,29,0.136,29,0.129,1,0.105,0.119,N,0.450,SignalP-noTM
